Transaction ID,Execution Entity Name,Instrument Name,Instrument Classification,Quantity,Price,Currency,Datestamp,Net Amount
260120211,AAWDW64954,EX0345934354,EXMKFG,11,9.08,GBP,26-01-2021 21:10:23,99.88
260120212,AAWDW64954,EX0345934355,EXMKFE,12,16.02,GBP,26-01-2021 21:10:24,192.24
260120213,AAWDW64954,AX0345934354,AXMKFG,13,71.57,EUR,26-01-2021 21:10:25,930.41
260120214,AAWDW64954,EX0345934354,EXMKFG,14,67.25,GBP,26-01-2021 21:10:26,941.5
260120215,AAWDW64954,EX0345934354,EXMKFG,15,32.81,RUB,26-01-2021 21:10:27,492.15
260120216,AAWDW64954,EX0345934354,EXMKFG,16,37.8,GBP,26-01-2021 21:10:28,604.8
260120217,EAWDW64954,GF0345934354,GFDASE,5,5,GBP,26-01-2021 21:10:29,25
260120218,DAWGT12432,HY0345956978,HYTREW,36,19.01,GBP,26-01-2021 21:10:30,684.36
260120219,DAWGT12432,QW0345956978,QWESDF,7,19.13,GBP,26-01-2021 21:10:31,133.91
2601202110,DAWGT12432,HY0345956978,HYTREW,67,79.32,EUR,26-01-2021 21:10:32,5314.44
2601202111,DAWGT12432,QW0345956978,QWESDF,76,56.16,GBP,26-01-2021 21:10:33,4268.16
2601202112,DAWGT12432,HY0345956978,HYTREW,62,19.79,RUB,26-01-2021 21:10:34,1226.98
2601202113,DAWGT12432,QW0345956978,QWESDF,99,14.99,GBP,26-01-2021 21:10:35,1484.01
2601202114,DAWGT12432,HY0345956978,HYTREW,67,51.44,GBP,26-01-2021 21:10:36,3446.48
2601202115,DAWGT12432,QW0345956978,QWESDF,50,0.13,GBP,26-01-2021 21:10:37,6.5
2601202116,DAWGT12432,HY0345956978,HYTREW,52,38.97,RUB,26-01-2021 21:10:38,2026.44
2601202117,GNLKH12432,PM9587426581,PMESDF,11,61.53,GBP,26-01-2021 21:10:39,676.83
2601202118,DAWGT36254,PM9587426581,PMESDF,92,90.35,EUR,26-01-2021 21:10:40,8312.2
2601202119,GNLKH12432,PM9587426581,PMESDF,95,81.43,EUR,26-01-2021 21:10:41,7735.85
2601202120,DAWGT36254,PM9587426581,PMESDF,57,90.48,RUB,26-01-2021 21:10:42,5157.36
2601202121,AAWDW14954,MM0345934354,MMMKFG,11,56.53,,26-01-2021 21:10:43,456.33
2601202122,AAWDW14954,MM0345934353,MMKBBF,556,12.24,EU,26-01-2021 21:10:44,65657.65
2601202123,MAKLW64954,LL0345934354,LLMKFG,11,56.53,EUR,26-01-2021 21:10:23,621.83
2601202124,MAKLW64954,LL0345934354,LLMKFG,556,12.24,EUR,26-01-2021 21:10:23,6805.44
2601202125,MAKLW64954,LL0345934354,LLMKFG,53,52.3,EUR,26-01-2021 21:10:23,2771.9
2601202126,MAKLW64954,LL0345934354,LLMKFG,76,14.98,EUR,26-01-2021 21:10:23,1138.48
